Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte,Prix_Actuel_Clean,Ancien_Prix_Clean,Reduction_Reelle,Rating_Clean,Marque,CPU,Generation_CPU,RAM_GB,Stockage_GB,Type_Stockage,Etat_Produit,Taux_Completude,Gamme,CPU_Marque,CPU_Serie,CPU_Modele,CPU_Generation_Detectee,RAM_Type,RAM_Frequence,Stockage_SSD_GB,Stockage_HDD_GB,Stockage_NVMe,Stockage_Total_GB,Ecran_Taille,Ecran_Resolution_Width,Ecran_Resolution_Height,Ecran_Type,Ecran_Tactile,GPU_Marque,GPU_Serie,GPU_Modele,WiFi_Version,Bluetooth_Version,USB_Type,Batterie_Capacite,Batterie_Autonomie,Sentiment_BERT,Sentiment_Score_BERT,Keywords_TFIDF,Resume_Produit,Anomalie_Prix_ZScore,Anomalie_Prix_IQR,Type_Anomalie_Prix,Anomalie_ML,Anomalie_Score_ML,Anomalie_Score_Normalized,Incoherence_Spec_Prix,Severite_Incoherence,Produit_Suspect,Raisons_Suspicion,Indice_Confiance,Recommandation_Achat,Score_Fiabilite_Vendeur
Lenovo PC PORTABLE Thinkpad-L460 Core i5 RAM 16GB 512 SSD-6ème Génération-Remis a Neuf,"2,699.00 Dhs","4,299.00 Dhs",37%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/152956/1.jpg?4665,Jumia,2026-01-28 17:12:23,2699.0,4299.0,37.22,,Lenovo,i5,16.0,,16.0,Inconnu,Remis à neuf,66.7,Milieu de gamme,,,,6.0,,,,,False,,,,,,False,,,,,,,,,Positif,1.0,"6ème génération, 6ème, 16gb, portable thinkpad, lenovo pc",Lenovo | Processeur i5 | Remis à neuf | 2699 Dhs,False,False,Normal,False,-0.3847227290925041,0.9322999273340044,Cohérent,0,False,OK,90.0,À considérer,5.0
Hp PC Portable ELITEBOOK X360 G2 I7-7éme -16GB- 512GB SSD - TACTILE -REMIS À NEUF,"4,999.00 Dhs","8,899.00 Dhs",44%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/44/395174/1.jpg?9621,Jumia,2026-01-28 17:12:23,4999.0,8899.0,43.83,,Hp,i7,360.0,,512.0,SSD,Remis à neuf,66.7,Haut de gamme,,,,,,,512.0,,False,512.0,,,,,True,,,,,,,,,Neutre,0.6,"i7, ssd tactile, g2, tactile remis, 512gb ssd",Hp | Processeur i7 | 512GB SSD | Remis à neuf | 4999 Dhs,False,False,Normal,False,-0.4612190069738242,0.7355214657708409,Cohérent,0,False,OK,90.0,À considérer,5.0
"Lenovo PC Portable ThinkPad L460 - 14"" - Intel Core i5 6ème Génération - 16GB RAM + 512GB SSD - Windows - Remis à neuf","3,499.00 Dhs","4,999.00 Dhs",30%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/332656/1.jpg?1969,Jumia,2026-01-28 17:12:23,3499.0,4999.0,30.01,5.0,Lenovo,i5,6.0,16.0,512.0,SSD,Remis à neuf,100.0,Haut de gamme,,,,6.0,,,512.0,,False,512.0,14.0,,,,False,,,,,,,,,Neutre,0.6,"6ème génération, 6ème, windows, 512gb, 512gb ssd","Lenovo | Processeur i5 | 16GB RAM | 512GB SSD | Écran 14.0"" | Remis à neuf | 3499 Dhs",False,False,Normal,True,-0.5558201066163863,0.49217029411347213,Cohérent,0,True,Anomalie ML,50.0,Non recommandé - Vérifier,3.0
"Lenovo PC Portable ThinkPad T540P - 15.6"" - Intel Core i5 - 8GB RAM + 500GB HDD - Windows - Full HD - Azerty - Remis à neuf","2,999.00 Dhs","3,199.00 Dhs",6%,3.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/99/859795/1.jpg?2047,Jumia,2026-01-28 17:12:24,2999.0,3199.0,6.25,3.3,Lenovo,i5,8.0,8.0,500.0,HDD,Remis à neuf,100.0,Milieu de gamme,,,,,,,,500.0,False,500.0,15.6,,,,False,,,,,,,,,Neutre,0.6,"500gb, azerty remis, windows, 8gb ram, hdd","Lenovo | Processeur i5 | 8GB RAM | 500GB HDD | Écran 15.6"" | Remis à neuf | 2999 Dhs",False,False,Normal,False,-0.46895443463961195,0.7156229086414546,Cohérent,0,False,OK,100.0,À considérer,5.0
"Lenovo PC Portable ThinkPad T540P - 15.6"" - Intel Core i5 - 8GB RAM + 256GB SSD - Windows - Full HD - Azerty - Remis à neuf","2,999.00 Dhs","3,599.00 Dhs",17%,3.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/61/959795/1.jpg?2169,Jumia,2026-01-28 17:12:24,2999.0,3599.0,16.67,3.5,Lenovo,i5,8.0,8.0,256.0,SSD,Remis à neuf,100.0,Milieu de gamme,,,,,,,256.0,,False,256.0,15.6,,,,False,,,,,,,,,Neutre,0.6,"azerty remis, windows, 8gb ram, 15, portable thinkpad","Lenovo | Processeur i5 | 8GB RAM | 256GB SSD | Écran 15.6"" | Remis à neuf | 2999 Dhs",False,False,Normal,False,-0.39469061676010647,0.9066586065457127,Cohérent,0,False,OK,100.0,À considérer,5.0
"Lenovo PC Portable ThinkPad T460 - 14"" - Intel Core i5 6ème Génération - 16GB RAM + 512GB SSD - Windows - Remis à neuf","3,599.00 Dhs","4,999.00 Dhs",28%,3.6 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/77/759795/1.jpg?3821,Jumia,2026-01-28 17:12:24,3599.0,4999.0,28.01,3.6,Lenovo,i5,6.0,16.0,512.0,SSD,Remis à neuf,100.0,Haut de gamme,,,,6.0,,,512.0,,False,512.0,14.0,,,,False,,,,,,,,,Neutre,0.6,"6ème génération, 6ème, windows, 512gb, 512gb ssd","Lenovo | Processeur i5 | 16GB RAM | 512GB SSD | Écran 14.0"" | Remis à neuf | 3599 Dhs",False,False,Normal,True,-0.5565799030606505,0.4902157993387663,Cohérent,0,True,Anomalie ML,50.0,Non recommandé - Vérifier,3.0
"Table de lit pour Ordinateur Portable, Table de lit et canapé, Plateau de Petit-déjeuner, Pliant",129.00 Dhs,250.00 Dhs,48%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/914006/1.jpg?2694,Jumia,2026-01-28 17:12:24,129.0,250.0,48.4,4.5,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,,,,,,,,,False,,,,,,False,,,,,,,,,Positif,0.8,"table, et, pour ordinateur, ordinateur portable, pour",Processeur Autre | 129 Dhs,False,False,Normal,False,-0.3906655862615409,0.9170125653420003,Cohérent,0,True,Prix extrême,60.0,Non recommandé - Vérifier,3.0
Handboss Bouteille 650ml Nettoyage Mousse universelle Agent spray PC Surface Cleaner,48.00 Dhs,75.00 Dhs,36%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/383315/1.jpg?8558,Jumia,2026-01-28 17:12:25,48.0,75.0,36.0,4.3,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,,,,,,,,,False,,,,,,False,,,,,,,,,Positif,1.0,pc,Processeur Autre | 48 Dhs,False,False,Normal,False,-0.3672166795469523,0.9773323601925893,Cohérent,0,True,Prix extrême,60.0,Non recommandé - Vérifier,3.0
Table Pliante Polyvalente pour Ordinateur Portable – Bureau de Lit en Bois MDF avec Fente pour Tablette et Porte-Gobelet,109.99 Dhs,150.00 Dhs,27%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/28/746276/1.jpg?0163,Jumia,2026-01-28 17:12:25,109.99,150.0,26.67,,Autre,Autre,,,,,Non spécifié,50.0,Entrée de gamme,,,,,,,,,False,,,,,VA,False,,,,,,,,,Positif,1.0,"pour, table, avec, en, et",Processeur Autre | 109 Dhs,False,False,Normal,False,-0.35840478997404407,1.0,Cohérent,0,True,Prix extrême,55.0,Non recommandé - Vérifier,3.0
V8S Audio USB carte son externe mélangeur de son en direct divertissement personnel Streamer diffusion en direct pour PC téléphone ordinateur,170.00 Dhs,300.00 Dhs,43%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/983566/1.jpg?8732,Jumia,2026-01-28 17:12:25,170.0,300.0,43.33,5.0,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,,,,,,,,,False,,,,,,False,,,,,,,,,Positif,0.8,"en, pour, ordinateur, pc",Processeur Autre | 170 Dhs,False,False,Normal,False,-0.39483186408625537,0.9062952629647008,Cohérent,0,True,Prix extrême,60.0,Non recommandé - Vérifier,3.0
