Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte,Prix_Actuel_Clean,Ancien_Prix_Clean,Reduction_Reelle,Rating_Clean,Marque,CPU,Generation_CPU,RAM_GB,Stockage_GB,Type_Stockage,Etat_Produit,Taux_Completude,Gamme,Performance_Index,Score_Qualite,RQP_Score,Est_Bonne_Affaire,Type_Affaire,Anomalie_Prix,Type_Anomalie,Sentiment_Score,Sentiment_Label,Tags
"Caméra HD 1080p avec microphone intégré, pour ordinateur, appareil réseau, fonctionne avec trépied.",149.00 Dhs,400.00 Dhs,63%,4.7 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/00/741066/1.jpg?5183,Jumia,2026-01-28 17:12:33,149.0,400.0,62.75,4.7,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,43.3,290.6,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
GAMER STORE coussin de refroidissement pour ordinateur portable gaming RGB S500,349.00 Dhs,549.00 Dhs,36%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/04/249656/1.jpg?3066,Jumia,2026-01-28 17:12:33,349.0,549.0,36.43,4.3,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,39.6,113.47,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
Led pocket video light rotatif mini selfie ring light ay 83 pour smartphone ordinateur etc,139.00 Dhs,189.00 Dhs,26%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/27/206956/1.jpg?9587,Jumia,2026-01-28 17:12:34,139.0,189.0,26.46,,Autre,Autre,,,,,Non spécifié,50.0,Entrée de gamme,0.0,10.8,77.7,False,Standard,False,Normal,0.4,Positif,"Entrée de gamme, Non spécifié"
"DELL Pc OPTIPLEX 3040 CORE i5-6500 3,2Ghz 6éme Génération 8Go 256Go SSD - HDMI -Remis à neuf","1,990.00 Dhs",,,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/539656/1.jpg?0867,Jumia,2026-01-28 17:12:34,1990.0,,0.0,4.0,Dell,i5,2.0,,8.0,Inconnu,Remis à neuf,83.3,Entrée de gamme,24.0,53.1,26.68,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Dell, Remis à neuf"
Samsung RAM 16GB DDR4 PC4-21300 DDR4-2666 MHz Pour Ordinateur Portable Mémoire Vive RAM,520.00 Dhs,850.00 Dhs,39%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/065936/1.jpg?7846,Jumia,2026-01-28 17:12:36,520.0,850.0,38.82,,Samsung,Autre,16.0,16.0,16.0,Inconnu,Non spécifié,83.3,Haut de gamme,35.0,30.4,58.46,False,Standard,True,Incohérence gamme/prix,0.0,Neutre,"Haut de gamme, Samsung, Non spécifié, Promotion"
Table de Bureau Portable pour Ordinateur avec Porte-Boisson pour lit et Voyage,199.00 Dhs,230.00 Dhs,13%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/71/215456/1.jpg?4383,Jumia,2026-01-28 17:12:36,199.0,230.0,13.48,,Autre,Autre,,,,,Non spécifié,50.0,Entrée de gamme,0.0,10.2,51.26,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié"
Base de bureau pour ordinateur portable avec table pliable,849.00 Dhs,"1,000.00 Dhs",15%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/991656/1.jpg?3604,Jumia,2026-01-28 17:12:36,849.0,1000.0,15.1,5.0,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,42.8,50.41,False,Standard,False,Normal,-0.8,Négatif,"Entrée de gamme, Non spécifié"
Lenovo Ordinateur tout en un ThinkCentre Core i5 8eme Ram 8 Disque dur 256 go ssd Remis a Neuf,"2,989.00 Dhs","3,500.00 Dhs",15%,1 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/114276/1.jpg?8942,Jumia,2026-01-28 17:12:36,2989.0,3500.0,14.6,1.0,Lenovo,i5,256.0,,262144.0,Inconnu,Remis à neuf,83.3,Milieu de gamme,49.0,45.8,15.32,False,Standard,False,Normal,0.0,Neutre,"Milieu de gamme, Lenovo, Remis à neuf"
"Remax Écouteurs sans fil 5.0 étanches IPX5 avec microphone ultra léger mains libres stéréo pour téléphones portables, ordinateurs, tablettes et sports (6 heures de lecture)",130.00 Dhs,199.00 Dhs,35%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/102466/1.jpg?9952,Jumia,2026-01-28 17:12:45,130.0,199.0,34.67,5.0,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,43.7,336.15,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
Manette de jeu sans fil Bluetooth 4.0 GSH V8 pour PC Windows 7/8/10/Switch Tv Box/Ordinateur portable/Smartphones -couleur aléatoire,175.00 Dhs,299.00 Dhs,41%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/100466/1.jpg?3778,Jumia,2026-01-28 17:12:45,175.0,299.0,41.47,5.0,Autre,Autre,0.0,,,,Non spécifié,66.7,Entrée de gamme,0.0,44.1,252.0,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
"Lunettes rondes Anti-lumière bleue pour femmes,Tendance oreilles de chat rose by For Ladys",79.00 Dhs,179.00 Dhs,56%,2 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/950806/1.jpg?5607,Jumia,2026-01-28 17:12:45,79.0,179.0,55.87,2.0,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,26.8,339.24,False,Standard,False,Normal,0.6,Positif,"Entrée de gamme, Non spécifié, Promotion"
"Présentateur sans fil, pointeur de présentation, changeur de diapositives, télécommande, stylo, contrôleur PPT avec clip, 2,4 GHz, pour ordinateur portable et fenêtre",121.00 Dhs,295.00 Dhs,59%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/95/308366/1.jpg?2699,Jumia,2026-01-28 17:12:46,121.0,295.0,58.98,4.5,Autre,Autre,4.0,,,,Non spécifié,66.7,Entrée de gamme,2.0,42.8,353.72,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
"Mini aspirateur de voiture automatique et souffleur d'air sans fil pour voiture, Aspirateur Trois En Un",114.00 Dhs,179.00 Dhs,36%,3.4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/523246/1.jpg?8247,Jumia,2026-01-28 17:12:46,114.0,179.0,36.31,3.4,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,34.2,300.0,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
General Cadena Pc Portable - Antivol à code pour ordinateur portable,109.00 Dhs,,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/76/289023/1.jpg?9305,Jumia,2026-01-28 17:12:46,109.0,,0.0,,Autre,Autre,,,,,Non spécifié,50.0,Entrée de gamme,0.0,9.5,87.16,False,Standard,False,Normal,0.05,Neutre,"Entrée de gamme, Non spécifié"
"Cable Imprimante USB 3.0 A-Mâle vers B-Mâle,Ordinateur, Serveur, Imprimante-Noir",100.00 Dhs,,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/12/379835/1.jpg?7271,Jumia,2026-01-28 17:12:46,100.0,,0.0,,Autre,Autre,,,,,Non spécifié,50.0,Entrée de gamme,0.0,9.5,95.0,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié"
"Ordinateur éducatif pour enfants – Tablette d’enseignement Français-Arabe, jeux de logique et de calcul",95.00 Dhs,150.00 Dhs,37%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/17/476276/1.jpg?0833,Jumia,2026-01-28 17:12:47,95.0,150.0,36.67,,Autre,Autre,,,,,Non spécifié,50.0,Entrée de gamme,0.0,11.3,118.95,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
"Imprimante thermique portable sans fil Bluetooth pour ordinateur portable Android et iOS, papier A4, imprimante photo de poche, imprimante de documents, 1000mAh",989.00 Dhs,"2,299.00 Dhs",57%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/24/144856/1.jpg?9785,Jumia,2026-01-28 17:12:47,989.0,2299.0,56.98,,Autre,Autre,,,,,Non spécifié,50.0,Entrée de gamme,0.0,12.3,12.44,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
Lenovo PC PORTABLE THINKPAD L570P-I5-6TH GENERATION-8G-256Go SSD-AZERTY-REMIS A NEUF,"1,950.00 Dhs",,,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/041476/1.jpg?2665,Jumia,2026-01-28 17:12:47,1950.0,,0.0,,Lenovo,i5,8.0,,256.0,Inconnu,Remis à neuf,66.7,Entrée de gamme,41.0,33.4,17.13,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Lenovo, Remis à neuf"
"Jedel Haut Parleur Gamer Baffes Haut Parleurs Gaming RGB, USB Pour PC portable Ordinateur",75.00 Dhs,120.00 Dhs,38%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/46/892266/1.jpg?3025,Jumia,2026-01-28 17:12:47,75.0,120.0,37.5,5.0,Autre,Autre,,,,,Non spécifié,66.7,Entrée de gamme,0.0,43.9,585.33,False,Standard,False,Normal,0.0,Neutre,"Entrée de gamme, Non spécifié, Promotion"
