Titre,Prix_Actuel,Ancien_Prix,Discount,Rating,Image_URL,Source,Date_Collecte
"Jedel Haut Parleur Gamer RGB, Baffes Haut-Parleurs Gaming USB Pour PC Portable Ordinateur",75.00 Dhs,110.00 Dhs,32%,4.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/08/092166/1.jpg?1011,Jumia,2026-01-28 17:12:36
DELL Z2 Mini G3 Intel Core i7-7700 16 Go DDR4- Disque Dur 512 Go SSD Mini PC Station de travail - Remis a Neuf -,"3,250.00 Dhs","3,690.00 Dhs",12%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/21/792566/1.jpg?8529,Jumia,2026-01-28 17:12:36
"Stray Kids Skzoo Stickers Pack - 50 autocollants en vinyle imperméables pour bouteille d'eau, ordinateur portable, skat",39.00 Dhs,100.00 Dhs,61%,1 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/74/436956/1.jpg?0098,Jumia,2026-01-28 17:12:36
Support Telephone Portable PC Portable Ordinateur Bureau Magnetic PC Aluminium,39.00 Dhs,,,3.7 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/33/844646/1.jpg?9584,Jumia,2026-01-28 17:12:36
Base de bureau pour ordinateur portable avec table pliable,849.00 Dhs,"1,000.00 Dhs",15%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/93/991656/1.jpg?3604,Jumia,2026-01-28 17:12:36
"Sac pour pc portable, mallette pour pc, cartable, sacoche - 14 POUCES - gris",97.00 Dhs,299.00 Dhs,68%,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/482726/1.jpg?1265,Jumia,2026-01-28 17:12:36
Lenovo Ordinateur tout en un ThinkCentre Core i5 8eme Ram 8 Disque dur 256 go ssd Remis a Neuf,"2,989.00 Dhs","3,500.00 Dhs",15%,1 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/05/114276/1.jpg?8942,Jumia,2026-01-28 17:12:36
"Câble adaptateur secteur universel pour ordinateur portable AC standard à 3 broches 2 broches UE standard 1,5 M",29.00 Dhs,45.00 Dhs,36%,3.9 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/48/142843/1.jpg?4225,Jumia,2026-01-28 17:12:36
"Lot de 50 autocollants Eid Mubarak, Ramadan mubarak - Autocollants de style islamique pour bouteilles d'eau, ordinateurs portables, étuis de téléphone, guitares - Décorations Ramadan Kareem,",52.00 Dhs,99.00 Dhs,47%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/924266/1.jpg?6010,Jumia,2026-01-28 17:12:36
"Câble Chargeur Multi USB 4 en 1, Charge Rapide, pour ordinateur portable IPhone IPad Etc",49.00 Dhs,99.00 Dhs,51%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/58/340966/1.jpg?1452,Jumia,2026-01-28 17:12:36
Clavier et Souris Bluetooth Sans Fil azerty Pour Ordinateur et Smart TV,139.00 Dhs,179.00 Dhs,22%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/162946/1.jpg?5964,Jumia,2026-01-28 17:12:45
"Sacoche pc portable,mallette portable pour Ordinateur Portable 15.6",169.00 Dhs,,,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/000885/1.jpg?2156,Jumia,2026-01-28 17:12:45
"Remax Écouteurs sans fil 5.0 étanches IPX5 avec microphone ultra léger mains libres stéréo pour téléphones portables, ordinateurs, tablettes et sports (6 heures de lecture)",130.00 Dhs,199.00 Dhs,35%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/09/102466/1.jpg?9952,Jumia,2026-01-28 17:12:45
SH Souris Optique Sans fil Double Connectivité Bluetooth et USB wirless 2.4Ghz 800 - 1200 - 1600 dpi haute résolution pour ordinateur bureau et portable,59.00 Dhs,150.00 Dhs,61%,4.5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/38/539366/1.jpg?0086,Jumia,2026-01-28 17:12:45
Support pour ordinateur portable support de rangement pliant créatif,77.00 Dhs,,,3.3 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/312226/1.jpg?9434,Jumia,2026-01-28 17:12:45
Support téléphone magnétique pour ordinateur portable,47.00 Dhs,75.00 Dhs,37%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/581036/1.jpg?8223,Jumia,2026-01-28 17:12:45
"Tapis de Souris Floral Whisper Cerisier - Petit Tapis de Bureau Antidérapant avec Nuances Inspirées Rose/Blanc/Beige/Vert, Surface Douce pour PC/Ordinateur Portable/Bureau/Jeu, Compatible avec Clavier et Ordinateur",74.00 Dhs,125.00 Dhs,41%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/69/837376/1.jpg?3911,Jumia,2026-01-28 17:12:45
Manette de jeu sans fil Bluetooth 4.0 GSH V8 pour PC Windows 7/8/10/Switch Tv Box/Ordinateur portable/Smartphones -couleur aléatoire,175.00 Dhs,299.00 Dhs,41%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/80/100466/1.jpg?3778,Jumia,2026-01-28 17:12:45
Refroidisseur d'ordinateur portable Doté de 6 ventilateurs ultra silencieux avec effets lumineux colorés - support d'ordinateur portable réglable jusqu'à 19 pouces,232.00 Dhs,360.00 Dhs,36%,4.8 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/35/932176/1.jpg?6804,Jumia,2026-01-28 17:12:45
Table Ordinateur Portable Pliable Réglable 360° Ventilateurs Usb Refroidissement,199.00 Dhs,300.00 Dhs,34%,5 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/47/868316/1.jpg?1525,Jumia,2026-01-28 17:12:45
"Tapis de souris Monstre Épée - Base en caoutchouc antidérapante, Mini tapis de clavier style paysage, Lavable, Durable, Accessoire de bureau et cadeau parfait pour femmes, Convient pour le bureau, l'école, l'ordinateur portable, le gaming et les voyages",74.00 Dhs,125.00 Dhs,41%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/31/227376/1.jpg?6155,Jumia,2026-01-28 17:12:45
Stickers NARUTO Autocollant de Bande Dessinée Étanche 10 Pièces/Lot,35.00 Dhs,199.00 Dhs,82%,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/39/749314/1.jpg?2668,Jumia,2026-01-28 17:12:45
GameYes Tapis Gamer XXL RGB Color Led Gaming MousePad avec 14 mode,199.00 Dhs,,,4 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/64/388554/1.jpg?3839,Jumia,2026-01-28 17:12:45
"Support Ordinateur Portable, Laptop Stand, Alliage D'aluminium, Léger, Compact Portable Pliable , Ventilation et Dissipation de la Chaleur, Réglage à 7 Vitesses, Support pc Portable",79.00 Dhs,119.00 Dhs,34%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/97/073376/1.jpg?8059,Jumia,2026-01-28 17:12:45
"Lunettes rondes Anti-lumière bleue pour femmes,Tendance oreilles de chat rose by For Ladys",79.00 Dhs,179.00 Dhs,56%,2 out of 5,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/92/950806/1.jpg?5607,Jumia,2026-01-28 17:12:45
"Sac à dos d'affaire multifonctionnel, cartable de voyage pour ordinateur, bag Pc",159.00 Dhs,249.00 Dhs,36%,,https://ma.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/66/531376/1.jpg?8146,Jumia,2026-01-28 17:12:46
